Twinned,Orientation,Strain_level,Grain_size,Triple_points,Near_edge,T_SF1,T_SF2,T_SF3,T_SF4,T_SF5,T_SF6,S_SF1,S_SF2,S_SF3,Neighbor_grain_n,Max_B-b_m,Min_B-b_m,Mean_B-b_m,Max_B-t_m,Min_B-t_m,Mean_B-t_m,Max_Gbmisang,Min_Gbmisang,Mean_Gbmisang,Max_deltaGs,Min_deltaGs,Mean_deltaGs,Max_deltaBSF,Min_deltaBSF,Mean_deltaBSF
1,0,0.06,5.22 ,3,0,0.4803 ,0.4803 ,0.4769 ,0.4769 ,0.4557 ,0.4556 ,0.1898 ,0.0950 ,0.0947 ,3,0.8411 ,0.5524 ,0.6768 ,0.9218 ,0.0072 ,0.3401 ,36.35 ,10.74 ,25.06 ,12.98 ,-0.93 ,6.20 ,0.1064 ,-0.0754 ,0.0038 
1,0,0.06,30.58 ,7,1,0.4138 ,0.4025 ,0.3851 ,0.3571 ,0.3496 ,0.3103 ,0.3676 ,0.2597 ,0.1079 ,7,0.9404 ,0.5962 ,0.8146 ,0.7911 ,0.0300 ,0.3401 ,34.14 ,18.33 ,23.29 ,28.23 ,-28.01 ,-9.01 ,-0.0755 ,-0.2636 ,-0.1655 
0,0,0.06,4.77 ,3,0,0.4528 ,0.4480 ,0.4359 ,0.4281 ,0.4056 ,0.3930 ,0.2921 ,0.1777 ,0.1143 ,3,0.9763 ,0.0748 ,0.5565 ,0.9687 ,0.0160 ,0.3380 ,42.15 ,11.06 ,29.37 ,17.19 ,5.43 ,12.02 ,0.0041 ,-0.0894 ,-0.0391 
1,0,0.06,6.13 ,2,0,0.3284 ,0.3134 ,0.2666 ,0.2228 ,0.2049 ,0.1461 ,0.4581 ,0.3295 ,0.1286 ,2,0.1958 ,0.0702 ,0.1330 ,0.5091 ,0.0589 ,0.2827 ,43.70 ,36.62 ,40.16 ,20.08 ,16.86 ,18.47 ,-0.2307 ,-0.2495 ,-0.2401 
1,0,0.06,4.06 ,3,0,0.4924 ,0.4923 ,0.4906 ,0.4871 ,0.4813 ,0.4743 ,0.1222 ,0.0964 ,0.0258 ,3,0.8919 ,0.7828 ,0.8425 ,0.7746 ,0.0596 ,0.3491 ,29.48 ,21.62 ,26.74 ,26.52 ,2.95 ,15.44 ,0.2455 ,0.1679 ,0.1944 
1,0,0.06,22.99 ,9,0,0.4771 ,0.4743 ,0.4718 ,0.4692 ,0.4499 ,0.4444 ,0.2086 ,0.1228 ,0.0858 ,8,0.9784 ,0.0702 ,0.6949 ,0.9752 ,0.0117 ,0.3472 ,43.70 ,10.22 ,25.62 ,13.95 ,-17.70 ,-6.54 ,0.2495 ,-0.1046 ,0.0723 
0,0,0.06,2.43 ,4,0,0.4846 ,0.4829 ,0.4826 ,0.4815 ,0.4643 ,0.4616 ,0.1710 ,0.0964 ,0.0746 ,4,0.7668 ,0.4879 ,0.6262 ,0.8531 ,0.0160 ,0.3474 ,29.67 ,14.62 ,22.85 ,31.37 ,4.58 ,16.66 ,0.1211 ,-0.0812 ,0.0129 
1,0,0.06,13.74 ,7,0,0.3291 ,0.3102 ,0.2826 ,0.2421 ,0.2085 ,0.1491 ,0.4463 ,0.3492 ,0.0970 ,7,0.9638 ,0.4549 ,0.7571 ,0.8618 ,0.0098 ,0.3233 ,39.99 ,15.40 ,26.72 ,9.25 ,-11.07 ,-2.80 ,0.0262 ,-0.3320 ,-0.1597 
1,0,0.06,20.71 ,9,0,0.4952 ,0.4952 ,0.4936 ,0.4934 ,0.4837 ,0.4834 ,0.1040 ,0.0539 ,0.0502 ,9,0.9784 ,0.2006 ,0.7839 ,0.7493 ,0.0033 ,0.3427 ,29.53 ,10.22 ,19.99 ,16.24 ,-18.28 ,-2.06 ,0.2636 ,-0.0142 ,0.1149 
0,0,0.06,2.13 ,0,0,0.3731 ,0.3718 ,0.3042 ,0.2999 ,0.2562 ,0.2506 ,0.4349 ,0.2260 ,0.2089 ,1,0.2088 ,0.2088 ,0.2088 ,0.8205 ,0.0149 ,0.3414 ,38.64 ,38.64 ,38.64 ,16.07 ,16.07 ,16.07 ,-0.1387 ,-0.1387 ,-0.1387 
0,0,0.06,7.01 ,6,0,0.4329 ,0.4304 ,0.4128 ,0.4077 ,0.3956 ,0.3529 ,0.2921 ,0.2804 ,0.0117 ,6,0.7828 ,0.4968 ,0.6986 ,0.8124 ,0.0018 ,0.3407 ,29.67 ,8.02 ,22.08 ,26.79 ,-4.58 ,11.74 ,0.0755 ,-0.1881 ,-0.0747 
1,0,0.06,20.12 ,3,0,0.4047 ,0.3902 ,0.3783 ,0.3437 ,0.3409 ,0.2918 ,0.3743 ,0.2842 ,0.0901 ,3,0.7217 ,0.0284 ,0.3488 ,0.6988 ,0.0454 ,0.3104 ,43.72 ,30.23 ,34.81 ,38.69 ,8.25 ,20.24 ,-0.0974 ,-0.1582 ,-0.1344 
1,0,0.06,20.91 ,9,0,0.4529 ,0.4461 ,0.4376 ,0.4265 ,0.4085 ,0.3906 ,0.2900 ,0.1903 ,0.0997 ,8,0.9581 ,0.3639 ,0.7664 ,0.6936 ,0.0125 ,0.3363 ,29.48 ,8.02 ,19.45 ,37.90 ,-19.15 ,-1.67 ,0.0776 ,-0.1679 ,-0.0377 
1,0,0.06,8.73 ,2,0,0.4833 ,0.4811 ,0.4770 ,0.4765 ,0.4644 ,0.4534 ,0.1777 ,0.1313 ,0.0463 ,2,0.7728 ,0.4427 ,0.6077 ,0.7738 ,0.1327 ,0.3531 ,24.76 ,22.14 ,23.45 ,37.04 ,-0.66 ,18.19 ,0.1889 ,-0.1355 ,0.0267 
1,0,0.06,5.29 ,5,0,0.3926 ,0.3924 ,0.3359 ,0.3353 ,0.2901 ,0.2894 ,0.4097 ,0.2060 ,0.2037 ,5,0.8942 ,0.0429 ,0.4012 ,0.7237 ,0.0010 ,0.3025 ,39.99 ,19.09 ,32.61 ,20.93 ,5.14 ,11.63 ,0.0366 ,-0.2990 ,-0.1813 
